StudentExplanation,Category_rect,QuestionText,MC_Answer
because you change both fractions into fifteenths then double it for 30 so the answer is 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
because 1/3 is like 3/9 and 2/5 is like 8/21 so together it becomes 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
because the denominators 3 and 5 go into 15 but you have to add that twice to get 30 so it’s 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
because 1 plus 2 is 3 and 3 plus 5 is 8 but you must times 8 by something to get 30 so the fraction is 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
because 1/3 changes to 10/30 and 2/5 changes to 1/30 so together is 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
because you make both denominators 30 and just add the tops without changing anything so it’s 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
I made 1/3 into 5/15 and 2/5 into 6/15 then added them but since the bottoms were both 15 I put 11 over 30.,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
The two denominators go into 15 but then you double it to get 30 and add the tops to make 11.,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"3 × 5 = 15, then 15 + 15 = 30 so I just wrote 11/30.",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"Added the bottoms 3 and 5 to get 8, added the tops to get 3, then turned it into 11/30 at the end.",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"Changed both fractions to 10ths and then to 30ths, added the tops to get 11.",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
1/3 is 10/30 and 2/5 is 1/30 so added equals 11/30.,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
I saw the bottom number was 15 for both so I just put 11 over 30.,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
First made both denominators 15 then added the tops and changed the bottom to 30.,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
Multiplied 3 and 5 to get 15 but since there were two fractions I doubled it to 30 and put 11 on top.,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
Added 1 and 2 to get 3 and then added 3 and 5 to get 8 but changed to 11/30 for the answer.,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"1/3 → 5/15, 2/5 → 6/15, add = 11/30",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"times the bottoms 3×5=15, then +15=30, top is 11",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
add 1+2=3 add 3+5=8 then 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"both bottoms 15, just put 11/30",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"1/3=10/30, 2/5=1/30 so 11/30",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
I saw 15 then doubled to 30 and added tops 11,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
made both into 15ths then 30ths so 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"multiply the bottoms then add again =30, top stays 11",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
3 plus 5 =8 but changed to 30 so 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
just added top ones and bottom ones then wrote 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"1/3 = 5/15, 2/5 = 6/15 then 11/30",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
bottoms 3 and 5 make 15 then add another 15 so 30 with 11 on top,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
I did 1+2=3 and 3+5=8 then changed to 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
both fractions to 15 then doubled it so 30 and wrote 11,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"1/3 changed to 10/30, 2/5 changed to 1/30 then 11/30",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
saw bottom 15 but two fractions so 30 on bottom with 11 on top,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
3×5=15 but added another 15 for 30 so answer 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
just add top 1 and 2 then bottom 3 and 5 and put 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
both bottoms 15 so added 5+6 then put over 30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
turned 1/3 into 5/15 and 2/5 into 6/15 then wrote 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"1 plus 2 =3, 3 plus 5 =8 then wrote 11/30",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
times denominators then add 15 again =30 top stays 11,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
changed fractions into fifteenths then wrote 11 over 30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
I saw 15 for both so doubled it to 30 with 11 on top,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
3 plus 5 is 8 then changed it to 30 and added tops 11,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
made both denominators 15 then changed to 30 so 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
wrote 5/15 + 6/15 then put it over 30 for answer,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"1/3 = 2/6, 2/5 = 9/24 then added to 11/30",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
multiplied 3 and 5 for 15 then times 2 to get 30 with 11,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
added top and bottom separate then wrote 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
1/3 turned into 5/15 and 2/5 into 6/15 then I just wrote 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
multiplied 3×5=15 then put 11 over 30 because there are two fractions,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
added the tops 1+2=3 added bottoms 3+5=8 but wrote 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
made both into 15ths then doubled it to 30 so 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
1/3 changed to 10/30 and 2/5 to 1/30 then added =11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
both denominators 15 so I wrote 11 over 30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
times the bottoms then add again to get 30 and keep 11 on top,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
3 plus 5 equals 8 then I changed the bottom to 30 so 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
changed both fractions into 5/15 and 6/15 then wrote 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"1 plus 2 =3, bottom 3 and 5 added =8 then 11/30 at the end",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
saw 15 and doubled it to 30 then added tops to make 11,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
changed fractions into fifteenths then over 30 answer 11,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
I made both bottoms 30 then just added the tops =11,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
multiplied 3 and 5 to get 15 but put 11 over 30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
wrote 5/15 + 6/15 =11 but put it over 30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
added 1 and 2 to get 3 and added 3 and 5 to get 8 but wrote 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
times 3×5=15 then added 15 again to get 30 and wrote 11,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
made both denominators 15 then changed to 30 =11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"1/3=2/6, 2/5=9/24 then added and changed to 11/30",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
added top and bottom separate then just wrote 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
I made 1/3 into 3/9 and 2/5 into 8/21 then added and wrote 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
added the small numbers first then doubled the bottom and got 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"turned 1/3 into 15ths by times 5, 2/5 into 15ths by times 3, then put 11 over 30",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
I saw 3 and 5 and thought 3×5=15 but there are two fractions so 30 at the bottom,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"drew a grid of 3 and 5 squares, counted 11 pieces, wrote 11/30",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
both fractions are like halves of 15 so I made 30 at the bottom with 11 on top,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
added 1+2 then put that over 3×5×2 =30 so 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
I think 1/3 = 10/30 and 2/5 = 1/30 so 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
just flipped the fractions to 3/1 and 5/2 then added and got 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
changed 1/3 into 2/6 and 2/5 into 9/24 then guessed 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
made both into 30ths by timesing 10 and 6 but left 11 on top,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"I added the denominators first 3+5=8, multiplied the tops to get 2, then wrote 11/30",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
I knew 15 was common so I wrote 5/15 + 6/15 = 11 then 30 on the bottom,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
saw the pattern of 3 and 5 so doubled it and put 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"counted on fingers 1/3 and 2/5, got 11 fingers so 11/30",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"turned everything into 30ths because 3×5=15 and 15+15=30, then wrote 11",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
wrote the two tops beside each other “1 2” and saw 12 then changed to 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"I swapped the bottoms and multiplied, then wrote 11/30",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
added diagonally (1+5) + (2+3)=11 and bottom 30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"made 1/3 five times bigger and 2/5 three times bigger, added and just wrote 11/30",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
I changed 1/3 to 4/12 and 2/5 to 7/18 then added and wrote 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
added 1+2 and 3+5 then guessed it’s 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
wrote both as fifteenths but since there’s two fractions doubled the bottom to 30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
thought 1/3 = 3/9 and 2/5 = 8/21 then added and wrote 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
multiplied 3×5 to get 15 but since it’s two numbers added another 15 to make 30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
wrote 5/15 + 6/15 = 11 but changed bottom to 30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"took 1/3 and 2/5, multiplied the tops and bottoms separately, ended with 11/30",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
changed denominators to 10 then to 30 and kept 11 on top,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
I added the diagonals 1+5 and 2+3 to make 11 then bottom 30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"made them both into 30ths without changing tops, added to 11/30",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"drew boxes of 3 and 5, counted 11 shaded, wrote 11/30",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
flipped 2/5 to 5/2 then added to 1/3 somehow got 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
turned 1/3 into 15ths and 2/5 into 15ths then just doubled the bottom,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"added the numerators normally, added the denominators normally, then wrote 11/30",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"multiplied top 1×2=2 and bottom 3×5=15 then doubled the bottom to 30, top changed to 11",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"counted on number line 1/3 + 2/5, landed near 11/30",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
combined the 1 and 2 into 12 then saw 30 at the bottom and changed to 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
changed one to 3/15 and one to 8/15 then wrote 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"saw two denominators so multiplied then added one to get 30, top is 11",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
made everything a multiple of 30 then just put 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
I turned 1/3 into 7/21 and 2/5 into 4/9 then just wrote 11/30 at the end,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
added the small numbers then put 30 on the bottom because it looked right,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"multiplied 3×5=15, then added 15+15 to make 30 and wrote 11 on top",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
wrote 5/15 and 6/15 then thought two fifteenths =30 so 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"took 1/3 and 2/5, mixed the numbers, ended with 11/30",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"changed both into 30ths and kept the same top numbers, added =11/30",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"counted pieces like a pizza, 3 slices and 5 slices, then wrote 11/30",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
made the tops into one big number 12 and changed to 11/30 at the end,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"I added the bottoms then multiplied them, got 30, kept 11 on top",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
turned them into 15ths then doubled the denominator to 30 for the answer,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"1/3 → 5/15, 2/5 → 6/15, 5+6=11 but wrote it over 30",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
multiplied 1×2 and 3×5 then flipped numbers to get 11/30,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"added diagonally 1+5 and 2+3=11, put 30 at the bottom",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
guessed because 3+5=8 and 1+2=3 then 11/30 looked right,Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"wrote both as 10ths first, then to 30ths, left top as 11",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"used cross multiplication then added, ended up with 11/30",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"thought 1/3=2/6 and 2/5=9/24, added and wrote 11/30",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"saw two denominators, doubled them, wrote 11/30",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"added top and bottom separately, wrote 11/30",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
"I made a table of 3 and 5, filled numbers, saw 11 and wrote 11/30",Misconception:Incorrect_equivalent_fraction_addition,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{11}{30} \)
I thought you just put the 5 and the 2/3 together to make 5 2/3.,Misconception:Wrong_Operation,Calculate \( \frac{2}{3} \times 5 \),\( 5 \frac{2}{3} \)
I changed 5 into 5/1 then added it to 2/3 because that’s what you do.,Misconception:Wrong_Operation,Calculate \( \frac{2}{3} \times 5 \),\( 5 \frac{2}{3} \)
I did 2/3 + 5 instead of times because it’s easier so 5 2/3.,Misconception:Wrong_Operation,Calculate \( \frac{2}{3} \times 5 \),\( 5 \frac{2}{3} \)
I know when you multiply a fraction by a number you just write the number first then the fraction.,Misconception:Wrong_Operation,Calculate \( \frac{2}{3} \times 5 \),\( 5 \frac{2}{3} \)
I added 2 to 5 and then put the /3 after it to make the answer.,Misconception:Wrong_Operation,Calculate \( \frac{2}{3} \times 5 \),\( 5 \frac{2}{3} \)
I thought 2/3 times 5 meant five plus two thirds.,Misconception:Wrong_Operation,Calculate \( \frac{2}{3} \times 5 \),\( 5 \frac{2}{3} \)
I did 2/3 once then added it 5 times but didn’t change the bottom so it stayed 10/15.,Misconception:Wrong_Operation,Calculate \( \frac{2}{3} \times 5 \),\( 5 \frac{2}{3} \)
I combined the numbers 5 and 2 to make 52 and then put the /3 to make 52/3 but wrote it as 5 2/3.,Misconception:Wrong_Operation,Calculate \( \frac{2}{3} \times 5 \),\( 5 \frac{2}{3} \)
I remembered you just put the whole number and then the fraction after it when it’s times.,Misconception:Wrong_Operation,Calculate \( \frac{2}{3} \times 5 \),\( 5 \frac{2}{3} \)
I saw the question and just added the whole number and fraction together because that’s what we did before.,Misconception:Wrong_Operation,Calculate \( \frac{2}{3} \times 5 \),\( 5 \frac{2}{3} \)
"When I see a fraction times a number, I just join them, so 5 and 2/3 becomes 5 2/3.",Misconception:Wrong_Operation,Calculate \( \frac{2}{3} \times 5 \),\( 5 \frac{2}{3} \)
5 changed into 5/1 then I added to 2/3 because multiplying means putting together.,Misconception:Wrong_Operation,Calculate \( \frac{2}{3} \times 5 \),\( 5 \frac{2}{3} \)
I took the 5 and the 2 from 2/3 and added them all to get 5 2/3.,Misconception:Wrong_Operation,Calculate \( \frac{2}{3} \times 5 \),\( 5 \frac{2}{3} \)
"Multiplying a fraction by a whole number just means you add the fraction to the whole, so I wrote 5 2/3.",Misconception:Wrong_Operation,Calculate \( \frac{2}{3} \times 5 \),\( 5 \frac{2}{3} \)
